candidate_index	canonical_source_row	polymer_entity_id	pair_id	historical_screening_index	PDB	chain	UniProt	sequence_cluster	protein_family_if_available	canonical_uniprot_length	mapped_length	mapping_coverage	identity_source_available	mapping_available	pair_qc_status	local_PDB_available	local_AFDB_available	local_PAE_available	local_pLDDT_available	fragment_metadata_available	fragment_count	single_fragment_full_coverage_possible	PDB_CA_coverage_proxy	missing_residue_proxy	global_pLDDT_proxy	low_confidence_fraction_proxy	long_range_PAE_proxy	existing_PDB_AFDB_disagreement_proxy	ligand_annotation_available	interface_annotation_available	known_sequence_mismatch_flag	known_provenance_issue	estimated_P0_readiness	estimated_P1_risk	local_data_complete	missing_local_inputs	sampling_stratum_prior	sampling_stratum_prior_source	prior_evidence_status	prior_evidence_sources	prior_observability_complete	supported_sampling_priors	round1_member
11	10	4LBS_1	4lbs_A__P15121		4lbs	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
12	11	7FEZ_1	7fez_A__P05413		7fez	A	P05413	30:228					false	false		true	false	false	false	false					96.19				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
13	12	5YCE_1	5yce_A__P02185	7	5yce	A	P02185	30:176		154			false	false		true	false	false	false	false			0.9805194805194806	0.01948051948051943	97.5				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=7.0	false		false
14	13	6L27_1	6l27_A__P42212	4	6l27	A	P42212	30:465		238	228	0.957983193277311	true	true	pass	true	true	true	true	true	1	true	0.986842105263158	0.013157894736842035	96.62	0.013			true			ambiguous_auth_residue_mapping	known_blocked	unknown	true		uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=4.0	false		true
15	14	7KR0_1	7kr0_A__P0DTD1	9	7kr0	A	P0DTD1	30:44		7095	169	1.3412698412698412	true	true	pass	true	true	true	true	true	28	false	1.0	0.0	96.08	0.01			true			unsupported_afdb_fragment	known_blocked	unknown	true		uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=9.0	false		true
16	15	5KWM_1	5kwm_A__Q54137	34	5kwm	A	Q54137	30:18309		272			false	false		true	false	false	false	false			0.9652173913043478	0.034782608695652195	89.06				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=34.0	false		false
17	16	1GCI_1	1gci_A__P29600	6	1gci	A	P29600	30:1037		269	269	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	98.62	0.0	3.0	0.1647295641974449	true			missing_mapping_column	known_blocked	unknown	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=6.0;data/raw/afdb/P29600/model.cif;data/raw/afdb/P29600/pae.json;data/raw/pdb/1gci.cif;data/processed/pairs/1gci_A__P29600/residue_mapping.parquet	true	easy_control_prior	true
18	17	1X6Z_1	1x6z_A__P02973		1x6z	A	P02973	30:9250					false	false		false	false	false	false	false					94.88								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
19	18	3BCJ_1	3bcj_A__P15121		3bcj	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
20	19	3W5H_1	3w5h_A__P83686	8	3w5h	A	P83686	30:3653		272	272	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	97.06	0.0	5.5	0.3420879219647284	true			missing_mapping_column	known_blocked	unknown	true		uncertain_or_unclassified	observed_but_no_complete_positive_prior	observed_no_positive_prior	reports/a0_candidate_summary.csv:screening_index=8.0	true		true
21	20	5GV8_1	5gv8_A__P83686		5gv8	A	P83686	30:3653		272			false	false		false	true	true	true	true	1	true			97.06	0.0							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
22	21	6JGJ_1	6jgj_A__P42212		6jgj	A	P42212	30:925		238			false	false		false	true	true	true	true	1	true			96.62	0.013							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
23	22	6ZM8_1	6zm8_A__A0A7S6K8E4	10	6zm8	A	A0A7S6K8E4	30:23462		227	208	0.9162995594713657	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	93.81	0.079	4.5	0.25773960074223023	true				likely_ready	lower_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=10.0;data/raw/afdb/A0A7S6K8E4/AF-A0A7S6K8E4-F1/model.cif;data/raw/afdb/A0A7S6K8E4/AF-A0A7S6K8E4-F1/pae.json;data/raw/pdb/6zm8.cif;data/processed/pairs/6zm8_A__A0A7S6K8E4/residue_mapping.parquet	true	easy_control_prior	true
24	23	7A5M_1	7a5m_A__Q8N8S7		7a5m	A	Q8N8S7	30:9431					false	false		false	false	false	false	false					70.62								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
25	24	4UA6_1	4ua6_A__H6UQI0		4ua6	A	H6UQI0	30:99					false	false		false	false	false	false	false					94.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
26	25	5MN1_1	5mn1_A__P00760		5mn1	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
27	26	7R2H_1	7r2h_A__P30405		7r2h	A	P30405	30:527					false	false		false	false	false	false	false					88.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
28	27	7AF2_1	7af2_AAA__P29768	22	7af2	AAA	P29768	30:12637		382	379	0.9921465968586387	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	98.06	0.008	3.5	0.10802551351225086	true		true	pdb_amino_acid_mismatch	likely_ready	known_high_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=22.0;data/raw/afdb/P29768/AF-P29768-F1/model.cif;data/raw/afdb/P29768/AF-P29768-F1/pae.json;data/raw/pdb/7af2.cif;data/processed/pairs/7af2_AAA__P29768/residue_mapping.parquet	true	easy_control_prior	true
29	28	6KL0_1	6kl0_A__P42212		6kl0	A	P42212	30:925		238			false	false		false	true	true	true	true	1	true			96.62	0.013							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
30	29	5MNK_1	5mnk_A__P00760		5mnk	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
31	30	1PQ7_1	1pq7_A__P35049	105	1pq7	A	P35049	30:3022		248	224	0.9032258064516129	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	92.62	0.101	4.0	0.14123144025409257	true			invalid_atom_residue_identity	likely_ready	known_high_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=105.0;data/raw/afdb/P35049/AF-P35049-F1/AF-P35049-F1-model_v6.cif;data/raw/afdb/P35049/AF-P35049-F1/pae.json;data/raw/pdb/1pq7.cif;data/processed/pairs/1pq7_A__P35049/residue_mapping.parquet	true	easy_control_prior	true
32	31	1W0N_1	1w0n_A__P45796		1w0n	A	P45796	30:20759					false	false		false	false	false	false	false					94.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
33	32	2IXT_1	2ixt_A__Q9S3L6		2ixt	A	Q9S3L6	30:33686					false	false		false	false	false	false	false					87.69								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
34	33	2QXW_1	2qxw_A__P15121		2qxw	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
35	34	3D43_1	3d43_A__Q9S3L6		3d43	A	Q9S3L6	30:33686					false	false		false	false	false	false	false					87.69								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
36	35	3MFJ_1	3mfj_A__P00760		3mfj	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
37	36	3MI4_1	3mi4_A__P00760		3mi4	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
38	37	3UI4_1	3ui4_A__Q9Y237	13	3ui4	A	Q9Y237	30:13715		131			false	false		true	false	false	false	false			1.0	0.0	78.62				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=13.0	false		false
39	38	4I8G_1	4i8g_A__P00760		4i8g	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
40	39	4LB3_1	4lb3_A__P15121		4lb3	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
41	40	4LB4_1	4lb4_A__P15121		4lb4	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
42	41	4LBR_1	4lbr_A__P15121		4lbr	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
43	42	5GV7_1	5gv7_A__P83686		5gv7	A	P83686	30:3653		272			false	false		false	true	true	true	true	1	true			97.06	0.0							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
44	43	8W8U_1	8w8u_A__H3K419	23	8w8u	A	H3K419	30:3156		439			false	false		true	false	false	false	false			1.0	0.0	91.19				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=23.0	false		false
45	44	8ZST_1	8zst_A__P00698		8zst	A	P00698	30:18		147			false	false		false	true	true	true	true	1	true			93.88	0.109							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
46	45	9CY0_1	9cy0_A__P0DTD1		9cy0	A	P0DTD1	30:44					false	false		false	true	true	true	true	1				96.08	0.01							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
47	46	9M1X_1	9m1x_A__P05413		9m1x	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
48	47	9M22_1	9m22_A__P05413		9m22	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
49	48	1FN8_1	1fn8_A__P35049		1fn8	A	P35049	30:3022		248			false	false		false	true	true	true	true	1	true			92.62	0.101							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
50	49	1FY4_1	1fy4_A__P35049		1fy4	A	P35049	30:3022		248			false	false		false	true	true	true	true	1	true			92.62	0.101							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
51	50	1FY5_1	1fy5_A__P35049		1fy5	A	P35049	30:3022		248			false	false		false	true	true	true	true	1	true			92.62	0.101							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
52	51	1GDN_1	1gdn_A__P35049		1gdn	A	P35049	30:3022		248			false	false		false	true	true	true	true	1	true			92.62	0.101							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
53	52	2I16_1	2i16_A__P15121		2i16	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
54	53	2I17_1	2i17_A__P15121		2i17	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
55	54	4M7G_1	4m7g_A__P24664		4m7g	A	P24664	30:18309					false	false		true	false	false	false	false					98.12				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
56	55	7WKB_1	7wkb_A__P05413		7wkb	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
57	56	5HB7_1	5hb7_A__G0S156	14	5hb7	A	G0S156	30:17436		426			false	false		true	false	false	false	false			1.0	0.0	67.81				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=14.0	false		false
58	57	1NWZ_1	1nwz_A__P16113	115	1nwz	A	P16113	30:1944		125	125	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	95.81	0.016	11.800000000000011	0.3941446180020611	true				likely_ready	lower_risk	true		high_pae_long_range_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=115.0;data/raw/afdb/P16113/AF-P16113-F1/AF-P16113-F1-model_v6.cif;data/raw/afdb/P16113/AF-P16113-F1/pae.json;data/raw/pdb/1nwz.cif;data/processed/pairs/1nwz_A__P16113/residue_mapping.parquet	true	high_pae_long_range_prior	true
59	58	2H5C_1	2h5c_A__P00778		2h5c	A	P00778	30:3639					false	false		false	false	false	false	false					91.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
60	59	2J8T_1	2j8t_A__P15121		2j8t	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
61	60	2VXN_1	2vxn_A__P48499		2vxn	A	P48499	30:477					false	false		true	false	false	false	false					97.56				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
62	61	8C3X_1	8c3x_A__A0A7I9C8Z1	107	8c3x	A	A0A7I9C8Z1	30:6986		240	224	0.9333333333333333	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	93.19	0.067	5.5	0.3183144181160551	true				likely_ready	lower_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=107.0;data/raw/afdb/A0A7I9C8Z1/AF-A0A7I9C8Z1-F1/AF-A0A7I9C8Z1-F1-model_v6.cif;data/raw/afdb/A0A7I9C8Z1/AF-A0A7I9C8Z1-F1/pae.json;data/raw/pdb/8c3x.cif;data/processed/pairs/8c3x_A__A0A7I9C8Z1/residue_mapping.parquet	true	easy_control_prior	true
63	62	1N55_1	1n55_A__P48499		1n55	A	P48499	30:477					false	false		false	false	false	false	false					97.56								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
64	63	1SSX_1	1ssx_A__P00778		1ssx	A	P00778	30:3639					false	false		false	false	false	false	false					91.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
65	64	2JFR_1	2jfr_A__A0QTQ6	109	2jfr	A	A0QTQ6	30:49747		233	233	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	94.69	0.009	6.5	0.3444764573724793	true				likely_ready	lower_risk	true		state_disagreement_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=109.0;data/raw/afdb/A0QTQ6/AF-A0QTQ6-F1/AF-A0QTQ6-F1-model_v6.cif;data/raw/pdb/2jfr.cif;data/processed/pairs/2jfr_A__A0QTQ6/residue_mapping.parquet	true	state_disagreement_prior	true
66	65	2PWA_1	2pwa_A__P06873		2pwa	A	P06873	30:901					false	false		false	false	false	false	false					92.44								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
67	66	3X2L_1	3x2l_A__B3Y002		3x2l	A	B3Y002	30:15306					false	false		false	false	false	false	false					92.25								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
68	67	4Y9W_1	4y9w_A__G8B6Y8		4y9w	A	G8B6Y8	30:5985					false	false		false	false	false	false	false					85.69								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
69	68	6MZ2_1	6mz2_A__Q9L5C7		6mz2	A	Q9L5C7	30:99					false	false		false	false	false	false	false					93.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
70	69	7FF6_1	7ff6_A__P05413		7ff6	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
71	70	7WF0_1	7wf0_A__P05413		7wf0	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
