batch1_rank	candidate_index	canonical_source_row	polymer_entity_id	pair_id	historical_screening_index	PDB	chain	UniProt	sequence_cluster	sampling_stratum_prior	sampling_stratum_prior_source	prior_evidence_status	prior_evidence_sources	prior_observability_complete	supported_sampling_priors	estimated_P0_readiness	estimated_P1_risk	local_data_complete	missing_local_inputs	selection_reason
14	38	37	3UI4_1	3ui4_A__Q9Y237	13	3ui4	A	Q9Y237	30:13715	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=13.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
15	103	106	5EMB_1	5emb_A__Q8K4V4	20	5emb	A	Q8K4V4	30:6654	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=20.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
16	22	21	6JGJ_1	6jgj_A__P42212		6jgj	A	P42212	30:925	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
17	119	123	2DDX_1	2ddx_A__D5MP61	29	2ddx	A	D5MP61	30:31911	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=29.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
18	6	5	2OV0_1	2ov0_A__P22364	31	2ov0	A	P22364	30:5586	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=31.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
19	21	20	5GV8_1	5gv8_A__P83686		5gv8	A	P83686	30:3653	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
20	10	9	8C5N_1	8c5n_A__Q02I11	32	8c5n	A	Q02I11	30:17479	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=32.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
21	87	88	1MC2_1	1mc2_A__O57385	33	1mc2	A	O57385	30:297	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=33.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
22	156	162	5LP9_1	5lp9_A__A0A0H2V3I0	16	5lp9	A	A0A0H2V3I0	30:4940	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=16.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
23	104	107	5RDH_1	5rdh_A__P11838	27	5rdh	A	P11838	30:52	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=27.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
24	77	77	2YKZ_1	2ykz_A__P00138		2ykz	A	P00138	30:3514	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
25	120	124	3WDN_1	3wdn_A__P20821	15	3wdn	A	P20821	30:11831	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=15.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
26	44	43	8W8U_1	8w8u_A__H3K419	23	8w8u	A	H3K419	30:3156	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=23.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
27	196	202	4CE8_1	4ce8_A__Q9HYN5		4ce8	A	Q9HYN5	30:2620	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
28	92	93	2F01_1	2f01_A__P22629	19	2f01	A	P22629	30:539	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=19.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
29	139	144	5AKR_1	5akr_A__P25006	30	5akr	A	P25006	30:786	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=30.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
30	16	15	5KWM_1	5kwm_A__Q54137	34	5kwm	A	Q54137	30:18309	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=34.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
31	75	74	6TGU_1	6tgu_A__P19784	108	6tgu	A	P19784	30:453	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=108.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
32	80	80	6EIO_1	6eio_A__A0A023J6X7	102	6eio	A	A0A023J6X7	30:17615	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=102.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
33	98	99	4AYO_1	4ayo_A__B0SWV2	26	4ayo	A	B0SWV2	30:10033	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=26.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
34	3	2	4ZM7_1	4zm7_A__B3Y002	3	4zm7	A	B3Y002	30:15306	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=3.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
35	167	173	6KFN_1	6kfn_A__A0A5S8WF57	118	6kfn	A	A0A5S8WF57	30:268879	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=118.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
36	176	182	9QDV_1	9qdv_A__A0A918GGJ7	104	9qdv	A	A0A918GGJ7	30:1899	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=104.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
37	183	189	1VYR_1	1vyr_A__P71278	120	1vyr	A	P71278	30:769	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=120.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
38	197	203	4EA9_1	4ea9_A__O85353	116	4ea9	A	O85353	30:10008	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=116.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
39	2	1	1US0_1	1us0_A__P15121		1us0	A	P15121	30:408	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
40	155	161	9YGW_1	9ygw_A__Q46948	119	9ygw	A	Q46948	30:1375	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=119.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
41	200	206	5AVH_1	5avh_A__P24300		5avh	A	P24300	30:913	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster
42	206	212	5Y2S_1	5y2s_A__P00918		5y2s	A	P00918	30:36	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
43	13	12	5YCE_1	5yce_A__P02185	7	5yce	A	P02185	30:176	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=7.0	false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
44	61	60	2VXN_1	2vxn_A__P48499		2vxn	A	P48499	30:477	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
45	173	179	9MXN_1	9mxn_A__Q4K977		9mxn	A	Q4K977	30:3968	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
46	199	205	4NSV_1	4nsv_A__Q7M135		4nsv	A	Q7M135	30:28069	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
47	179	185	1IX9_1	1ix9_A__P00448		1ix9	A	P00448	30:2393	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster
48	24	23	7A5M_1	7a5m_A__Q8N8S7		7a5m	A	Q8N8S7	30:9431	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=insufficient_local_evidence;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster
