screening_index,source,pdb_id,chain_id,uniprot_id,pair_name,provisional_stratum,pilot_role,preflight_status,full_length_mapping_coverage,entity_mapping_coverage,sequence_identity,observed_ca_fraction,pair_status,geometry_status,robust_status,segment_context_status,confidence_model_match,mapped_plddt_min,mapped_plddt_q10,mapped_plddt_median,longest_internal_below_70_length,longest_internal_below_80_length,terminal_only_below_80,ca_disagreement_median,ca_disagreement_p90,ca_disagreement_max,largest_high_conf_disagreement_segment,high_conf_segment_median_plddt,high_conf_segment_disagreement,pae_6_11_q50,pae_6_11_q90,pae_6_11_mean,pae_6_11_above_10_fraction,pae_6_11_above_15_fraction,pae_6_11_pair_count,pae_12_23_q50,pae_12_23_q90,pae_12_23_mean,pae_12_23_above_10_fraction,pae_12_23_above_15_fraction,pae_12_23_pair_count,pae_24_47_q50,pae_24_47_q90,pae_24_47_mean,pae_24_47_above_10_fraction,pae_24_47_above_15_fraction,pae_24_47_pair_count,pae_48_95_q50,pae_48_95_q90,pae_48_95_mean,pae_48_95_above_10_fraction,pae_48_95_above_15_fraction,pae_48_95_pair_count,pae_96_plus_q50,pae_96_plus_q90,pae_96_plus_mean,pae_96_plus_above_10_fraction,pae_96_plus_above_15_fraction,pae_96_plus_pair_count,long_range_48_95_pae_q90,long_range_48_95_above_10_fraction,long_range_48_95_above_15_fraction,long_range_96_plus_pae_q90,long_range_96_plus_above_10_fraction,long_range_96_plus_above_15_fraction,is_easy_control,is_low_conf_local,is_high_pae_long_range,is_high_conf_state_disagreement,is_construct_difference,is_missing_coordinate_stress,easy_control_evidence_available,low_conf_evidence_available,high_pae_evidence_available,state_disagreement_evidence_available,construct_evidence_available,missing_coordinate_evidence_available,easy_control_evidence_summary,low_conf_evidence_summary,high_pae_evidence_summary,state_disagreement_evidence_summary,construct_evidence_summary,missing_coordinate_evidence_summary,primary_category,classification_status,full_diagnostic_complete,main_quality_pass,selection_eligible,classification_explanation,evidence_assembly_status,evidence_assembly_reason,model_evidence_mismatch
10,screening_pool,6zm8,A,A0A7S6K8E4,6zm8_A__A0A7S6K8E4,high_global_confidence,,pass_full_length,0.9162995594713657,1.0,1.0,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=1.0; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
11,screening_pool,2wfi,A,Q13427,2wfi_A__Q13427,lower_global_confidence,,fail_preflight,0.2347480106100795,0.988826815642458,1.0,0.9717514124293786,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=fail_preflight; pilot_role=None,observed CA fraction=0.9717514124293786; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
12,screening_pool,4uyr,A,P08640,4uyr_A__P08640,lower_global_confidence,,fail_preflight,0.1389904901243599,0.9004739336492891,1.0,0.9315789473684212,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=fail_preflight; pilot_role=None,observed CA fraction=0.9315789473684212; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
13,screening_pool,3ui4,A,Q9Y237,3ui4_A__Q9Y237,lower_global_confidence,,warn_construct_difference,0.732824427480916,0.9504950495049505,1.0,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,True,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=warn_construct_difference; pilot_role=None,observed CA fraction=1.0; secondary stress=None,construct_difference_control,partial_classification,False,False,False,status=partial_classification; primary=construct_difference_control; active_labels=construct_difference_control; missing evidence remains unknown rather than negative.,success,assembled,False
14,screening_pool,5hb7,A,G0S156,5hb7_A__G0S156,lower_global_confidence,,fail_preflight,0.284037558685446,0.968,1.0,1.0,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=fail_preflight; pilot_role=None,observed CA fraction=1.0; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
15,screening_pool,3wdn,A,P20821,3wdn_A__P20821,lower_global_confidence,,warn_construct_difference,0.7225433526011561,1.0,1.0,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,True,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=warn_construct_difference; pilot_role=None,observed CA fraction=1.0; secondary stress=None,construct_difference_control,partial_classification,False,False,False,status=partial_classification; primary=construct_difference_control; active_labels=construct_difference_control; missing evidence remains unknown rather than negative.,success,assembled,False
16,screening_pool,5lp9,A,A0A0H2V3I0,5lp9_A__A0A0H2V3I0,lower_global_confidence,,warn_construct_difference,0.8846153846153846,0.9938271604938272,1.0,0.9937888198757764,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,True,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=warn_construct_difference; pilot_role=None,observed CA fraction=0.9937888198757764; secondary stress=None,construct_difference_control,partial_classification,False,False,False,status=partial_classification; primary=construct_difference_control; active_labels=construct_difference_control; missing evidence remains unknown rather than negative.,success,assembled,False
17,screening_pool,4wee,A,P21707,4wee_A__P21707,lower_global_confidence,,fail_preflight,0.3016627078384798,0.8819444444444444,1.0,0.9921259842519684,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=fail_preflight; pilot_role=None,observed CA fraction=0.9921259842519684; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
18,screening_pool,6fmc,A,O14786,6fmc_A__O14786,lower_global_confidence,,fail_preflight,0.1679306608884073,0.981012658227848,1.0,1.0,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=fail_preflight; pilot_role=None,observed CA fraction=1.0; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
19,screening_pool,2f01,A,P22629,2f01_A__P22629,lower_global_confidence,,fail_preflight,0.6939890710382514,1.0,1.0,0.952755905511811,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=fail_preflight; pilot_role=None,observed CA fraction=0.952755905511811; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
20,screening_pool,5emb,A,Q8K4V4,5emb_A__Q8K4V4,lower_global_confidence,,fail_preflight,0.1762523191094619,0.9405940594059404,1.0,1.0,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=fail_preflight; pilot_role=None,observed CA fraction=1.0; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
21,screening_pool,4rek,A,P12676,4rek_A__P12676,long_backbone_proxy,,pass_full_length,0.913919413919414,1.0,1.0,0.997995991983968,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=0.997995991983968; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
22,screening_pool,7af2,AAA,P29768,7af2_AAA__P29768,long_backbone_proxy,,pass_full_length,0.9921465968586388,1.0,0.9973614775725592,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=1.0; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
23,screening_pool,8w8u,A,H3K419,8w8u_A__H3K419,long_backbone_proxy,,warn_construct_difference,0.8154897494305239,1.0,1.0,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,True,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=warn_construct_difference; pilot_role=None,observed CA fraction=1.0; secondary stress=None,construct_difference_control,partial_classification,False,False,False,status=partial_classification; primary=construct_difference_control; active_labels=construct_difference_control; missing evidence remains unknown rather than negative.,success,assembled,False
24,screening_pool,3o4p,A,Q7SIG4,3o4p_A__Q7SIG4,long_backbone_proxy,long_backbone_candidate,pass_full_length,1.0,1.0,1.0,1.0,complete,complete,complete,successful_no_segments,True,64.19,98.208,98.81,0.0,0.0,True,0.1515036092288044,0.3049296032851,6.88339980077952,0,,,1.5,2.5,1.6860338243316966,0.002727768685215494,0.0,1833.0,1.5,2.5,1.7269533445756042,0.005340078695896571,0.0002810567734682406,3558.0,1.5,2.5,1.7969778575703172,0.007031717534410533,0.002094554159186116,6684.0,2.0,3.0,2.1548109965635738,0.011082474226804124,0.0033505154639175256,11640.0,2.0,3.5,2.6084579615432952,0.017720246323991454,0.0035608059989108124,23871.0,3.0,0.011082474226804124,0.0033505154639175256,3.5,0.017720246323991454,0.0035608059989108124,True,False,False,False,False,False,True,True,True,True,True,True,available=True; mapped pLDDT median=98.81; CA disagreement p90=0.3049296032851; largest high-confidence run=0,internal below-80 run length=0,"48_95:q90=3,>10=0.0111,>15=0.00335,n=11640; 96_plus:q90=3.5,>10=0.0177,>15=0.00356,n=23871","qualifying segments=0, largest high-confidence run=0",preflight=pass_full_length; pilot_role=long_backbone_candidate,observed CA fraction=1.0; secondary stress=None,easy_control,complete_classification,True,True,True,status=complete_classification; primary=easy_control; active_labels=easy_control; missing evidence remains unknown rather than negative.,success,assembled,False
25,screening_pool,7bbx,A,Q5F6E9,7bbx_A__Q5F6E9,long_backbone_proxy,,pass_full_length,1.0,0.9971590909090908,0.9971509971509972,1.0,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=1.0; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
26,screening_pool,4ayo,A,B0SWV2,4ayo_A__B0SWV2,long_backbone_proxy,,pass_full_length,0.9437229437229436,0.9753914988814316,1.0,0.9954128440366972,not_started,not_started,not_started,not_started,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,False,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=pass_full_length; pilot_role=None,observed CA fraction=0.9954128440366972; secondary stress=None,insufficient_evidence,insufficient_evidence,False,False,False,status=insufficient_evidence; primary=insufficient_evidence; active_labels=none; missing evidence remains unknown rather than negative.,success,assembled,False
27,screening_pool,5rdh,A,P11838,5rdh_A__P11838,long_backbone_proxy,,fail_preflight,1.0,1.0,1.0,0.7875894988066826,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,True,False,False,False,False,True,True,available=False; mapped pLDDT median=None; CA disagreement p90=None; largest high-confidence run=0,unknown: mapped-confidence evidence unavailable or mismatched,unknown: long-range PAE evidence unavailable,unknown: structural-disagreement segment evidence unavailable,preflight=fail_preflight; pilot_role=None,observed CA fraction=0.7875894988066826; secondary stress=None,missing_coordinate_stress,partial_classification,False,False,False,status=partial_classification; primary=missing_coordinate_stress; active_labels=missing_coordinate_stress; missing evidence remains unknown rather than negative.,success,assembled,False
