screening_index,polymer_entity_id,pdb_id,entity_id,chain_id,auth_asym_ids,uniprot_id,all_uniprot_ids,length,experimental_method,resolution,organism,taxonomy_id,sequence_cluster,protein_chain_count,protein_entity_count,initial_release_date,afdb_available,afdb_global_plddt,afdb_model_entity_id,afdb_version,discovery_status,error,provisional_stratum,length_bin,single_chain_proxy,selection_reason,selected_for_screening,preflight_status,preflight_reason,full_length_mapping_coverage,entity_mapping_coverage,sequence_identity,observed_ca_fraction_of_mapped,pair_name,pair_status,geometry_status,robust_status,segment_context_status,complete_diagnostics,quality_pass,candidate_tags,primary_category,exclusion_reason
11,2WFI_1,2wfi,1,A,A,Q13427,Q13427,179.0,X-RAY DIFFRACTION,0.75,Homo sapiens,9606.0,30:15528,1.0,1.0,2009-06-16T00:00:00.000+00:00,True,57.06,AF-Q13427-F1,6.0,eligible,,lower_global_confidence,100-180,True,quota:lower_global_confidence,True,fail_preflight,low_full_length_mapping_coverage,0.2347480106100795,0.988826815642458,1.0,0.9717514124293786,2wfi_A__Q13427,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage
12,4UYR_1,4uyr,1,A,A,P08640,P08640,211.0,X-RAY DIFFRACTION,0.89,Saccharomyces cerevisiae S288C,559292.0,30:46244,1.0,1.0,2015-08-12T00:00:00.000+00:00,True,40.31,AF-P08640-F1,6.0,eligible,,lower_global_confidence,181-300,True,quota:lower_global_confidence,True,fail_preflight,low_full_length_mapping_coverage,0.1389904901243599,0.9004739336492891,1.0,0.9315789473684212,4uyr_A__P08640,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage
13,3UI4_1,3ui4,1,A,A,Q9Y237,Q9Y237,101.0,X-RAY DIFFRACTION,0.8,Homo sapiens,9606.0,30:13715,1.0,1.0,2011-12-07T00:00:00.000+00:00,True,78.62,AF-Q9Y237-F1,6.0,eligible,,lower_global_confidence,100-180,True,quota:lower_global_confidence,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.732824427480916,0.9504950495049505,1.0,1.0,3ui4_A__Q9Y237,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
14,5HB7_1,5hb7,1,A,A,G0S156,G0S156,125.0,X-RAY DIFFRACTION,0.819,Thermochaetoides thermophila DSM 1495,759272.0,30:17436,1.0,1.0,2016-04-20T00:00:00.000+00:00,True,67.81,AF-G0S156-F1,6.0,eligible,,lower_global_confidence,100-180,True,quota:lower_global_confidence,True,fail_preflight,low_full_length_mapping_coverage,0.284037558685446,0.968,1.0,1.0,5hb7_A__G0S156,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage
15,3WDN_1,3wdn,1,A,A,P20821,P20821,125.0,X-RAY DIFFRACTION,0.86,Bos taurus,9913.0,30:11831,1.0,1.0,2013-10-30T00:00:00.000+00:00,True,84.19,AF-P20821-F1,6.0,eligible,,lower_global_confidence,100-180,True,quota:lower_global_confidence,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.7225433526011561,1.0,1.0,1.0,3wdn_A__P20821,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
16,5LP9_1,5lp9,1,A,A,A0A0H2V3I0,A0A0H2V3I0,162.0,X-RAY DIFFRACTION,0.886266337349,Shigella flexneri,623.0,30:4940,1.0,1.0,2017-12-20T00:00:00.000+00:00,True,81.94,AF-A0A0H2V3I0-F1,6.0,eligible,,lower_global_confidence,100-180,True,quota:lower_global_confidence,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.8846153846153846,0.9938271604938272,1.0,0.9937888198757764,5lp9_A__A0A0H2V3I0,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
17,4WEE_1,4wee,1,A,A,P21707,P21707,144.0,X-RAY DIFFRACTION,0.891,Rattus norvegicus,10116.0,30:3258,1.0,1.0,2014-10-01T00:00:00.000+00:00,True,81.81,AF-P21707-F1,6.0,eligible,,lower_global_confidence,100-180,True,quota:lower_global_confidence,True,fail_preflight,low_full_length_mapping_coverage;incomplete_entity_mapping,0.3016627078384798,0.8819444444444444,1.0,0.9921259842519684,4wee_A__P21707,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage;incomplete_entity_mapping
18,6FMC_1,6fmc,1,A,A,O14786,O14786,158.0,X-RAY DIFFRACTION,0.9,Homo sapiens,9606.0,30:10714,1.0,1.0,2018-10-17T00:00:00.000+00:00,True,79.12,AF-O14786-F1,6.0,eligible,,lower_global_confidence,100-180,True,quota:lower_global_confidence,True,fail_preflight,low_full_length_mapping_coverage,0.1679306608884073,0.981012658227848,1.0,1.0,6fmc_A__O14786,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage
19,2F01_1,2f01,1,A,A;B,P22629,P22629,127.0,X-RAY DIFFRACTION,0.85,Streptomyces avidinii,1895.0,30:539,2.0,1.0,2005-11-29T00:00:00.000+00:00,True,84.81,AF-P22629-F1,6.0,eligible,,lower_global_confidence,100-180,False,quota:lower_global_confidence,True,fail_preflight,low_full_length_mapping_coverage,0.6939890710382514,1.0,1.0,0.952755905511811,2f01_A__P22629,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage
20,5EMB_1,5emb,1,A,A,Q8K4V4,Q8K4V4,101.0,X-RAY DIFFRACTION,0.85,Rattus norvegicus,10116.0,30:6654,2.0,2.0,2016-09-07T00:00:00.000+00:00,True,83.56,AF-Q8K4V4-F1,6.0,eligible,,lower_global_confidence,100-180,False,quota:lower_global_confidence,True,fail_preflight,low_full_length_mapping_coverage,0.1762523191094619,0.9405940594059404,1.0,1.0,5emb_A__Q8K4V4,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage
21,4REK_1,4rek,1,A,A,P12676,P12676,499.0,X-RAY DIFFRACTION,0.74,Streptomyces sp. SA-COO,74576.0,30:7690,1.0,1.0,2015-04-15T00:00:00.000+00:00,True,95.19,AF-P12676-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,pass_full_length,Suitable for the main A0 screening pipeline.,0.913919413919414,1.0,1.0,0.997995991983968,4rek_A__P12676,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
22,7AF2_1,7af2,1,AAA,AAA,P29768,P29768,379.0,X-RAY DIFFRACTION,0.792,Salmonella enterica subsp. enterica serovar Typhimurium,90371.0,30:12637,1.0,1.0,2020-09-30T00:00:00.000+00:00,True,98.06,AF-P29768-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,pass_full_length,Suitable for the main A0 screening pipeline.,0.9921465968586388,1.0,0.9973614775725592,1.0,7af2_AAA__P29768,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
23,8W8U_1,8w8u,1,A,A,H3K419,H3K419,358.0,X-RAY DIFFRACTION,0.8,Phanerodontia chrysosporium,2822231.0,30:3156,1.0,1.0,2025-03-12T00:00:00.000+00:00,True,91.19,AF-H3K419-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.8154897494305239,1.0,1.0,1.0,8w8u_A__H3K419,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
24,3O4P_1,3o4p,1,A,A,Q7SIG4,Q7SIG4,314.0,X-RAY DIFFRACTION,0.85,Loligo vulgaris,6622.0,30:6115,1.0,1.0,2011-08-17T00:00:00.000+00:00,True,98.44,AF-Q7SIG4-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,pass_full_length,Suitable for the main A0 screening pipeline.,1.0,1.0,1.0,1.0,3o4p_A__Q7SIG4,complete,complete,complete,not_started,False,False,easy_control;low_conf_local,low_conf_local,segment_context=not_started
25,7BBX_1,7bbx,1,A,A,Q5F6E9,Q5F6E9,352.0,X-RAY DIFFRACTION,0.85,Neisseria gonorrhoeae,485.0,30:3246,1.0,1.0,2021-03-24T00:00:00.000+00:00,True,97.19,AF-Q5F6E9-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,pass_full_length,Suitable for the main A0 screening pipeline.,1.0,0.9971590909090908,0.9971509971509972,1.0,7bbx_A__Q5F6E9,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
26,4AYO_1,4ayo,1,A,A,B0SWV2,B0SWV2,447.0,X-RAY DIFFRACTION,0.85,Caulobacter sp. K31,366602.0,30:10033,1.0,1.0,2013-01-30T00:00:00.000+00:00,True,95.31,AF-B0SWV2-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,pass_full_length,Suitable for the main A0 screening pipeline.,0.9437229437229436,0.9753914988814316,1.0,0.9954128440366972,4ayo_A__B0SWV2,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
27,5RDH_1,5rdh,1,A,A,P11838,P11838,419.0,X-RAY DIFFRACTION,0.85,Cryphonectria parasitica,5116.0,30:52,1.0,1.0,2020-06-03T00:00:00.000+00:00,True,89.19,AF-P11838-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,fail_preflight,missing_observed_ca,1.0,1.0,1.0,0.7875894988066826,5rdh_A__P11838,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,missing_observed_ca
28,1MUW_1,1muw,1,A,A,P15587,P15587,386.0,X-RAY DIFFRACTION,0.86,Streptomyces olivochromogenes,1963.0,30:913,1.0,1.0,2002-11-06T00:00:00.000+00:00,True,98.56,AF-P15587-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,pass_full_length,Suitable for the main A0 screening pipeline.,0.9974160206718348,1.0,0.9974093264248703,1.0,1muw_A__P15587,not_started,not_started,not_started,not_started,False,False,,unclassified,pair=not_started;geometry=not_started;robust=not_started;segment_context=not_started
29,2DDX_1,2ddx,1,A,A,D5MP61,D5MP61,333.0,X-RAY DIFFRACTION,0.86,Vibrio sp. AX-4,247155.0,30:31911,1.0,1.0,2007-02-13T00:00:00.000+00:00,True,85.31,AF-D5MP61-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,fail_preflight,low_full_length_mapping_coverage,0.5677083333333334,0.981981981981982,1.0,0.9908256880733946,2ddx_A__D5MP61,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage
30,5AKR_1,5akr,1,A,A,P25006,P25006,378.0,X-RAY DIFFRACTION,0.87,Achromobacter cycloclastes,223.0,30:786,1.0,1.0,2015-07-08T00:00:00.000+00:00,True,92.31,AF-P25006-F1,6.0,eligible,,long_backbone_proxy,301-500,True,quota:long_backbone_proxy,True,fail_preflight,missing_observed_ca,1.0,1.0,1.0,0.8915343915343915,5akr_A__P25006,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,missing_observed_ca
31,2OV0_1,2ov0,1,A,A,P22364,P22364,105.0,X-RAY DIFFRACTION,0.75,Paracoccus denitrificans,266.0,30:5586,1.0,1.0,2007-08-14T00:00:00.000+00:00,True,88.25,AF-P22364-F1,6.0,eligible,,balanced_background,100-180,True,quota:balanced_background,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.8015267175572519,1.0,1.0,1.0,2ov0_A__P22364,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
32,8C5N_1,8c5n,1,A,A,Q02I11,Q02I11,193.0,X-RAY DIFFRACTION,0.75,Pseudomonas aeruginosa PA14,652611.0,30:17479,1.0,1.0,2023-06-28T00:00:00.000+00:00,True,88.38,AF-Q02I11-F1,6.0,eligible,,balanced_background,181-300,True,quota:balanced_background,True,fail_preflight,low_full_length_mapping_coverage,0.480719794344473,0.9689119170984456,1.0,0.9946524064171124,8c5n_A__Q02I11,skipped_preflight,skipped_preflight,skipped_preflight,skipped_preflight,False,False,,unclassified,low_full_length_mapping_coverage
33,1MC2_1,1mc2,1,A,A,O57385,O57385,122.0,X-RAY DIFFRACTION,0.85,Deinagkistrodon acutus,36307.0,30:297,1.0,1.0,2002-08-21T00:00:00.000+00:00,True,89.75,AF-O57385-F1,6.0,eligible,,balanced_background,100-180,True,quota:balanced_background,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.8840579710144928,1.0,1.0,1.0,1mc2_A__O57385,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
34,5KWM_1,5kwm,1,A,A,Q54137,Q54137,230.0,X-RAY DIFFRACTION,0.777,Saccharopolyspora erythraea,1836.0,30:18309,1.0,1.0,2017-10-18T00:00:00.000+00:00,True,89.06,AF-Q54137-F1,6.0,eligible,,balanced_background,181-300,True,quota:balanced_background,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.8455882352941176,1.0,1.0,0.9652173913043478,5kwm_A__Q54137,not_started,not_started,not_started,not_started,False,False,,unclassified,Construct or precursor difference; retain only as an edge-case control.
35,1X8P_1,1x8p,1,A,A,Q94734,Q94734,184.0,X-RAY DIFFRACTION,0.85,Rhodnius prolixus,13249.0,30:2732,1.0,1.0,2004-10-05T00:00:00.000+00:00,True,88.75,AF-Q94734-F1,6.0,eligible,,balanced_background,181-300,True,quota:balanced_background,True,warn_construct_difference,Construct or precursor difference; retain only as an edge-case control.,0.8975609756097561,1.0,1.0,1.0,1x8p_A__Q94734,complete,complete,complete,complete,True,False,easy_control;low_conf_local,low_conf_local,Construct or precursor difference; retain only as an edge-case control.
36,3ZOJ_1,3zoj,1,A,A,F2QVG4,F2QVG4,279.0,X-RAY DIFFRACTION,0.88,Komagataella pastoris,4922.0,30:10269,1.0,1.0,2013-06-26T00:00:00.000+00:00,True,88.12,AF-F2QVG4-F1,6.0,eligible,,balanced_background,181-300,True,quota:balanced_background,True,pass_full_length,Suitable for the main A0 screening pipeline.,1.0,1.0,1.0,0.942652329749104,3zoj_A__F2QVG4,complete,complete,complete,complete,True,True,low_conf_local;high_pae_long_range,low_conf_local,
