screening_index	pdb_id	chain_id	uniprot_id	provisional_stratum	selection_stage	pdb_entity_length	canonical_uniprot_length	pdb_to_uniprot_length_ratio	afdb_global_plddt	resolution	organism	sequence_cluster	experimental_method	protein_chain_count	full_length_mapping_coverage	entity_mapping_coverage	sequence_identity	observed_ca_fraction_of_mapped	internal_unmapped_fraction	preflight_status	preflight_reason	afdb_selection_status	selected_afdb_model_entity_id	afdb_version	afdb_fragment_start	afdb_fragment_end	discovery_rank	selection_reason	exclusion_reasons	duplicate_with_original_pool	error	runtime_seconds
111	1i1w	A	P23360	lower_global_confidence_replacement	full_length_proxy_preflight	303.0	329.0	0.9209726443768997	94.81	0.89	Thermoascus aurantiacus	30:1911	X-RAY DIFFRACTION	1.0	0.9209726443768997	1.0	0.9801980198019802	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-P23360-F1	6.0	1.0	329.0	11	full_length_proxy;confidence_ranked		False		2.5728372670710087
112	4f1v	A	C3K8K1	lower_global_confidence_replacement	full_length_proxy_preflight	381.0	394.0	0.9670050761421319	95.0	0.88	Pseudomonas [fluorescens] SBW25	30:12499	X-RAY DIFFRACTION	1.0	0.9390862944162437	0.9711286089238845	1.0	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-C3K8K1-F1	6.0	1.0	394.0	12	full_length_proxy;confidence_ranked		False		3.591672776034102
113	3ip0	A	P26281	lower_global_confidence_replacement	full_length_proxy_preflight	158.0	159.0	0.9937106918238994	95.62	0.89	Escherichia coli K-12	30:2553	X-RAY DIFFRACTION	1.0	0.9937106918238994	1.0	1.0	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-P26281-F1	6.0	1.0	159.0	13	full_length_proxy;confidence_ranked		False		0.181608211947605
114	7g0z	A	P15090	lower_global_confidence_replacement	full_length_proxy_preflight	135.0	132.0	1.0227272727272727	95.75	0.84	Homo sapiens	30:228	X-RAY DIFFRACTION	1.0	1.0	0.9777777777777777	0.9393939393939394	1.0	0.0	fail_preflight	low_sequence_identity	supported	AF-P15090-F1	6.0	1.0	132.0	14	full_length_proxy;confidence_ranked	low_sequence_identity;fail_preflight	False		2.384257446974516
115	1nwz	A	P16113	lower_global_confidence_replacement	full_length_proxy_preflight	125.0	125.0	1.0	95.81	0.82	Halorhodospira halophila	30:1944	X-RAY DIFFRACTION	1.0	1.0	1.0	1.0	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-P16113-F1	6.0	1.0	125.0	15	full_length_proxy;confidence_ranked		False		0.12677677581086755
116	4ea9	A	O85353	lower_global_confidence_replacement	full_length_proxy_preflight	220.0	215.0	1.0232558139534884	96.12	0.9	Caulobacter vibrioides	30:10008	X-RAY DIFFRACTION	1.0						failed_runtime	runtime_error	not_evaluated					16	full_length_proxy;confidence_ranked	missing_full_length_mapping_coverage;missing_entity_mapping_coverage;missing_sequence_identity;missing_observed_ca;failed_runtime	False	AmbiguousLegacyResidueIdentifier: SIFTS PDB residue identifier 'null' is ambiguous.	0.008710063993930817
117	9pwm	A	P0ABQ4	lower_global_confidence_replacement	full_length_proxy_preflight	159.0	159.0	1.0	96.44	0.89	Escherichia coli	30:869	X-RAY DIFFRACTION	1.0	1.0	1.0	1.0	1.0	0.0	pass_full_length	Suitable for the main A0 screening pipeline.	supported	AF-P0ABQ4-F1	6.0	1.0	159.0	17	full_length_proxy;confidence_ranked		False		0.15173112391494215
118	6kfn	A	A0A5S8WF57	lower_global_confidence_replacement	full_length_proxy_preflight	307.0	307.0	1.0	96.56	0.89	Paenibacillus sp. FPU-7	30:268879	X-RAY DIFFRACTION	1.0						failed_runtime	runtime_error	not_evaluated					18	full_length_proxy;confidence_ranked	missing_full_length_mapping_coverage;missing_entity_mapping_coverage;missing_sequence_identity;missing_observed_ca;failed_runtime	False	AmbiguousLegacyResidueIdentifier: SIFTS PDB residue identifier 'null' is ambiguous.	0.00953722302801907
119	9ygw	A	Q46948	lower_global_confidence_replacement	full_length_proxy_preflight	199.0	196.0	1.0153061224489797	97.12	0.88	Escherichia coli	30:1375	X-RAY DIFFRACTION	2.0						failed_runtime	runtime_error	not_evaluated					19	full_length_proxy;confidence_ranked	missing_full_length_mapping_coverage;missing_entity_mapping_coverage;missing_sequence_identity;missing_observed_ca;failed_runtime	False	AmbiguousLegacyResidueIdentifier: SIFTS PDB residue identifier 'null' is ambiguous.	0.014962455024942756
120	1vyr	A	P71278	lower_global_confidence_replacement	full_length_proxy_preflight	364.0	365.0	0.9972602739726028	97.19	0.9	Enterobacter cloacae	30:769	X-RAY DIFFRACTION	1.0						failed_runtime	runtime_error	not_evaluated					20	full_length_proxy;confidence_ranked	missing_full_length_mapping_coverage;missing_entity_mapping_coverage;missing_sequence_identity;missing_observed_ca;failed_runtime	False	AmbiguousLegacyResidueIdentifier: SIFTS PDB residue identifier 'null' is ambiguous.	0.01565896300598979
