candidate_index	canonical_source_row	polymer_entity_id	pair_id	PDB	chain	UniProt	current_readiness	primary_acquisition_class	required_external_assets	required_local_derivations	sampling_stratum_prior	prior_evidence_status	selection_reason	target_observability	asset_statuses	requires_pdb_mmcif	requires_sifts	requires_afdb_metadata	requires_afdb_structure	requires_afdb_pae	requires_afdb_confidence
208	214	6FMC_1	6fmc_A__O14786	6fmc	A	O14786	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=ge600;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
177	183	4WEE_1	4wee_A__P21707	4wee	A	P21707	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
46	45	9CY0_1	9cy0_A__P0DTD1	9cy0	A	P0DTD1	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
38	37	3UI4_1	3ui4_A__Q9Y237	3ui4	A	Q9Y237	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
103	106	5EMB_1	5emb_A__Q8K4V4	5emb	A	Q8K4V4	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
22	21	6JGJ_1	6jgj_A__P42212	6jgj	A	P42212	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
119	123	2DDX_1	2ddx_A__D5MP61	2ddx	A	D5MP61	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
6	5	2OV0_1	2ov0_A__P22364	2ov0	A	P22364	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
21	20	5GV8_1	5gv8_A__P83686	5gv8	A	P83686	partial_local_inputs	needs_pdb_side_acquisition	"[""pdb_mmcif"",""sifts""]"	"[""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""available_local"",""afdb_metadata"":""available_local"",""afdb_pae"":""available_local"",""afdb_structure"":""available_local"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""available_local"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""requires_external_acquisition"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""requires_external_acquisition""}"	True	True	False	False	False	False
10	9	8C5N_1	8c5n_A__Q02I11	8c5n	A	Q02I11	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
87	88	1MC2_1	1mc2_A__O57385	1mc2	A	O57385	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
156	162	5LP9_1	5lp9_A__A0A0H2V3I0	5lp9	A	A0A0H2V3I0	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
104	107	5RDH_1	5rdh_A__P11838	5rdh	A	P11838	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=300_599;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
77	77	2YKZ_1	2ykz_A__P00138	2ykz	A	P00138	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=lt150;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
120	124	3WDN_1	3wdn_A__P20821	3wdn	A	P20821	partial_local_inputs	needs_afdb_side_acquisition	"[""afdb_metadata"",""afdb_structure"",""afdb_pae"",""afdb_confidence""]"	"[""canonical_sequence_metadata_extraction"",""pair_qc"",""residue_mapping"",""fragment_resolution"",""p0_eligibility_inputs"",""mechanism_observability_features""]"	uncertain_or_unclassified	unobserved	acquisition_panel;post_acquisition_restratification_required;non_round1_candidate;prior=uncertain_or_unclassified;prior_evidence_status=unobserved;p0_readiness=partial_local_inputs;length_bucket=150_299;unique_uniprot;unique_known_sequence_cluster	complete_pair_mapping_confidence_pae_and_geometry_evidence_for_post_acquisition_restratification	"{""afdb_confidence"":""requires_external_acquisition"",""afdb_metadata"":""requires_external_acquisition"",""afdb_pae"":""requires_external_acquisition"",""afdb_structure"":""requires_external_acquisition"",""canonical_identity_metadata"":""available_local"",""canonical_sequence_metadata"":""derivable_locally_after_acquisition"",""pair_qc_source_inputs"":""requires_external_acquisition"",""pdb_mmcif"":""available_local"",""residue_mapping_source_inputs"":""requires_external_acquisition"",""sifts"":""available_local""}"	False	False	True	True	True	True
